chain_name,name,address,latitude,longitude,phone,website,rating,total_ratings,price_level,business_status,opening_hours,google_maps_url,place_id,types,scraped_at
Starbucks,Starbucks,"8 Məmmədəmin Rəsulzadə, Bakı, Azerbaijan",40.3695574,49.8371518,(012) 404 81 09,http://www.starbucks.az/?utm_source=gbp&utm_medium=yext&y_source=1_MTAyMDc2NjE3MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.3,848,PRICE_LEVEL_MODERATE,OPERATIONAL,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:30 PM | Saturday: 8:00 AM – 11:30 PM | Sunday: 8:00 AM – 11:30 PM,https://maps.google.com/?cid=12452485505317832044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJOTDfxbZ9MEARbIUrS5cd0Kw,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:00.940414
Starbucks,Starbucks PortBaku,"Port Mall, 151 Neftçilər Prospekti, Bakı, Azerbaijan",40.375332400000005,49.8611474,(012) 404 88 72,http://starbucks.com/?utm_source=gbp&utm_medium=yext&y_source=1_MTAyMDc2NjE2OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.3,239,N/A,OPERATIONAL,Monday: 8:00 AM – 11:30 PM | Tuesday: 8:00 AM – 11:30 PM | Wednesday: 8:00 AM – 11:30 PM | Thursday: 8:00 AM – 11:30 PM | Friday: 8:00 AM – 11:30 PM | Saturday: 8:00 AM – 11:30 PM | Sunday: 8:00 AM – 11:30 PM,https://maps.google.com/?cid=2687304842017094455&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJpVPKmAF9MEARN7udD4Q5SyU,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:01.244923
Starbucks,Starbucks (28 Mall),"28 Mall, 16/21 Azadlıq Prospekti, Bakı, Azerbaijan",40.3789839,49.8465938,(012) 404 83 62,N/A,4.1,231,N/A,OPERATIONAL,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,https://maps.google.com/?cid=5969385746609011682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJH0PBr6d9MEAR4vvombWE11I,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:01.547858
Starbucks,Starbucks,"64 Neftçilər Prospekti, Bakı 1010, Azerbaijan",40.373841899999995,49.8605205,(012) 310 38 50,https://www.starbucks.az/,3.1,24,N/A,OPERATIONAL,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,https://maps.google.com/?cid=14283289712710037864&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJZR68UQB9MEARaLESTlFwOMY,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:01.850677
Starbucks,Starbucks,"108 Neftchilar Ave, Baku, Azerbaijan",40.358799399999995,49.8373391,055 493 35 79,https://www.starbucks.az/?utm_source=gbp&utm_medium=yext&y_source=1_MTAyMDc2NjE3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,138,N/A,OPERATIONAL,Monday: 9:00 AM – 11:30 PM | Tuesday: 9:00 AM – 11:30 PM | Wednesday: 9:00 AM – 11:30 PM | Thursday: 9:00 AM – 11:30 PM | Friday: 9:00 AM – 11:30 PM | Saturday: 9:00 AM – 11:30 PM | Sunday: 9:00 AM – 11:30 PM,https://maps.google.com/?cid=17734389465258217484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ8y2Lp1J9MEARDFAlAUI1HfY,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:02.155016
Starbucks,Starbucks,"City Globus Center, Yasamal district, 609 Cəfər Cabbarlı küçəsi, Bakı, Azerbaijan",40.385258799999995,49.8282448,(012) 310 39 92,https://www.starbucks.az/?utm_source=gbp&utm_medium=yext&y_source=1_MTAyMDc2NjE2Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,40,N/A,OPERATIONAL,Monday: 8:00 AM – 11:30 PM | Tuesday: 8:00 AM – 11:30 PM | Wednesday: 8:00 AM – 11:30 PM | Thursday: 8:00 AM – 11:30 PM | Friday: 8:00 AM – 11:30 PM | Saturday: 8:00 AM – 11:30 PM | Sunday: 8:00 AM – 11:30 PM,https://maps.google.com/?cid=11995146643373693497&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJn2T8l7B9MEARORoCs1FSd6Y,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:02.460202
Gloria Jeans Coffee,Gloria Jean's Coffees Atatürk pr.,"140 Atatürk prospekti, Bakı, Azerbaijan",40.4126753,49.8465649,N/A,N/A,4.3,38,N/A,OPERATIONAL,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,https://maps.google.com/?cid=2170500437430869683&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJZz91FeyHMEARs57l5aUqHx4,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:03.678372
Gloria Jeans Coffee,Gloria Jean’s Coffees PBR,"57 Üzeyir Hacıbəyov Bakı AZ, 1010 Üzeyir Hacıbəyov, Bakı, Azerbaijan",40.376552499999995,49.8598176,051 252 43 34,https://instagram.com/gloriajeanscoffeesazerbaijan,4.3,13,N/A,OPERATIONAL,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,https://maps.google.com/?cid=10103727332245403275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJLTMPWPp9MEARi3bkEXqmN4w,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:03.983522
Gloria Jeans Coffee,Gloria Jean’s coffee,"57b Azərbaycan Prospekti, Bakı 1009, Azerbaijan",40.3730441,49.832790499999994,N/A,N/A,4.1,50,N/A,OPERATIONAL,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,https://maps.google.com/?cid=12836908223618532306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJG3S7a_t9MEAR0sMSOwTcJbI,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:04.287084
Gloria Jeans Coffee,Gloria Jean's Coffees,"31a 28 May St, Baku 1010, Azerbaijan",40.376709999999996,49.8475304,N/A,N/A,4.4,35,N/A,OPERATIONAL,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,https://maps.google.com/?cid=11553075714337692323&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJGXCxLgB9MEARo1pKwCbFVKA,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:04.592212
Gloria Jeans Coffee,Gloria Jean's Coffees,"Baku, Azerbaijan",40.3677936,49.8389488,N/A,https://www.gloriajeans.com/?utm_term=plcid_9319673939560834368&utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Gloria%20Jean%27s%20Coffees%20Istiqlaliyyat%20str%20-%20Baku,4.2,403,PRICE_LEVEL_MODERATE,OPERATIONAL,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,https://maps.google.com/?cid=2168273421934074067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ6-1PPrR9MEAR0xhNcjBBFx4,"cafe, food, point_of_interest, establishment",2025-12-20T11:35:04.897358
Gloria Jeans Coffee,Gloria Jean's Coffees,"Port Mall, 151 Neftçilər Prospekti, Bakı, Azerbaijan",40.3758451,49.8608604,(012) 464 06 13,https://www.gloriajeans.com/?utm_term=plcid_12695717668370000666&utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Gloria%20Jean%27s%20Coffees%20PBR%20-%20Bak%C4%B1,4.2,100,N/A,OPERATIONAL,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,https://maps.google.com/?cid=6893263229940067321&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ9xMyAgF9MEAR-evWs2LKqV8,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:05.201552
Gloria Jeans Coffee,Gloria Jean's Coffees Caspian Plaza,"Caspian Business Center, 42 J. Jabbarli, Baku, Azerbaijan",40.384819,49.8289261,(012) 310 35 17,https://www.gloriajeans.com/?utm_term=plcid_609719863158083062&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Gloria+Jean%27s+Coffees+Caspian+Plaza+-+Baku,4.1,80,N/A,OPERATIONAL,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,https://maps.google.com/?cid=15331592315193784399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJZTRKJmN9MEART_g7_PrBxNQ,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:05.503751
Gloria Jeans Coffee,Gloria Jean's Coffees Ganjlik Mall,"Ganjlik Mall, Fətəli Xan Xoyski, Bakı, Azerbaijan",40.4001143,49.8527217,N/A,https://www.gloriajeans.com.tr/?utm_term=plcid_8021781900087048743&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Gloria+Jean%27s+Coffees+Ganjlik+Mall+-+Bak%C4%B1,3.3,31,N/A,OPERATIONAL,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,https://maps.google.com/?cid=15100988560978311594&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJXzd1XF19MEARqnlZdhZ9kdE,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:05.808948
Gloria Jeans Coffee,Gloria Jean's Coffees Bulvar,"Park Bulvar, 1-ci mərtəbə, Bakı, Azerbaijan",40.370517899999996,49.8498431,050 265 60 65,N/A,3.6,47,N/A,OPERATIONAL,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,https://maps.google.com/?cid=16574696263168073403&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJmQ0nLUR9MEARu54gUm8mBeY,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:06.114059
Gloria Jeans Coffee,Gloria Jean's,"17 Səməd Vurğun, Bakı 1005, Azerbaijan",40.374077,49.8418097,N/A,N/A,4.5,66,N/A,OPERATIONAL,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,https://maps.google.com/?cid=7801098012153666594&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJedL_3YZ9MEARItxsYE8RQ2w,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:06.419229
Gloria Jeans Coffee,Gloria Jeans Coffe,"CR2Q+58W, Azadlıq Prospekti, Bakı, Azerbaijan",40.400496,49.838342499999996,N/A,N/A,3.9,16,N/A,OPERATIONAL,N/A,https://maps.google.com/?cid=7365006347715116354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJZ7oGdAB9MEARQn0OdEDCNWY,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:06.721558
Gloria Jeans Coffee,Gloria Jean's Coffees (Cresent Mall),"152 Neftçilər Prospekti, Bakı, Azerbaijan",40.3736484,49.8588739,N/A,https://www.instagram.com/gloriajeanscoffeesazerbaijan,3.8,28,N/A,OPERATIONAL,N/A,https://maps.google.com/?cid=8188775136839584775&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ9fq7ZAB9MEARB8zf2JlfpHE,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:07.026739
Gloria Jeans Coffee,Gloria Jean's Coffees 28 Mall,"1014, 4 Azadliq Ave, Baku 1014, Azerbaijan",40.379027,49.846769599999995,N/A,https://www.gloriajeans.com/?utm_term=plcid_5474922845497134746&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Gloria+Jean%27s+Coffees+28+Mall+-+Baku,3.3,33,N/A,OPERATIONAL,N/A,https://maps.google.com/?cid=191558636242009941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJE_YChwN9MEARVf_ckpCNqAI,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",2025-12-20T11:35:07.330239
Costa Coffee,Costa Coffee Deniz Mall,"26a Neftçilər Prospekti, Bakı, Azerbaijan",40.3579959,49.837319,N/A,http://www.costacoffee.az/,3.8,30,N/A,OPERATIONAL,N/A,https://maps.google.com/?cid=18441152879128326597&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJlUh_u1B9MEARxbEdkdYi7P8,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:08.192323
Costa Coffee,Costa Coffee Ganjlik,"Ganjlik Mall, 14 Fətəli Xan Xoyski, Bakı, Azerbaijan",40.4004975,49.8536289,N/A,N/A,3.6,45,N/A,OPERATIONAL,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,https://maps.google.com/?cid=7814339602096285403&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJB_jdGQB9MEAR22Y3SXcccmw,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:08.496884
Costa Coffee,Costa Coffee Nargiz Mall,"43C Nigar Rəfibəyli, Bakı 1005, Azerbaijan",40.370805,49.8345996,N/A,N/A,3.9,26,N/A,OPERATIONAL,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,https://maps.google.com/?cid=6637648708068699683&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJXWil1xB9MEARI-5DDFWqHVw,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:08.802043
Costa Coffee,Costa Coffee Globus Center,"609 Cəfər Cabbarlı küçəsi, Bakı, Azerbaijan",40.385019799999995,49.828204899999996,N/A,N/A,4.5,36,N/A,OPERATIONAL,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,https://maps.google.com/?cid=5512210850034286559&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJVTRlYAd9MEAR3_9YK5BOf0w,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",2025-12-20T11:35:09.107211
